			Autor, Herausgeber oder Institution	Jahr ermittelt	Titel	Untertitel	Ort	Zeitschrift/Zeitung	Band	Nummer	Datum	Seiten von–bis	Laufnummer	Schlagwörter
WAHR	FALSCH	FALSCH	"Górski, Karol; Szczuczko, Witold"	1980	Tabulae cereae civitatis Thorunensis. Tabliczki woskowe miasta Torunia ok. 1350 – I. po?. XVI w.		Warszawa/Posna?/Toru?		69				6962	"Stb - Stadtbuch; Wachstafel"
FALSCH	FALSCH	FALSCH	Grabarek, Józef	1984	Die Sprache des Schöffenbuches der alten Stadt Toru?		Rzeszów						13787	"Germanistik; Schöffenbuch/Gerichtsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Greif, Erwin	1928	Beiträge zum Stadthaushalt Straubings im Übergang vom Mittelalter zur Neuzeit		Straubing						11565	"Rechnungsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Gruber, Elisabeth	2015	"""Raittung und außgab zum gepew"""	Kommunale Rechnungspraxis im oberösterreichischen Freistadt. Edition und Kommentar der Stadtgrabenrechnung (1389-1392)	Wien		14				12991	"Edition/Regest; Rechnungsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Grulkowski, Marcin	2015	Najstarsze ksi?gi miejskie G?ównego Miasta Gda?ska z XIV i pocz?tku XV wieku [Das älteste Danziger Stadtbuch aus dem 14. und Anfgang des 15. Jahrunderts]	Studium kodykologiczne	Warszawa		1				13798	Stb - Stadtbuch
FALSCH	FALSCH	FALSCH	Gumnior, Klaus	1998	Sachsen und Polen zwischen 1697 und 1765. Beiträge der wissenschaftlichen Konferenz vom 26. bis 28. Juni 1997 in Dresden		Dresden		4/5				9870	
FALSCH	FALSCH	FALSCH	Guzy, Stefan	2013	Vögte, Schöffen, Zechmeister und andere städtische Amtsträger in Jägerndorf 1564 bis 1570			Zeitschrift für ostdeutsche Familiengeschichte	61			121–124	14809	"Edition/Regest; Stb - Stadtbuch; Urkunde"
FALSCH	FALSCH	FALSCH	Guzy, Stefan	2016	Drei Urkunden des ältesten Jägerndorfer Stadtbuches aus dem Jahr 1520			Schlesische Geschichtsblätter	43	3		116–120	14807	"Edition/Regest; Stb - Stadtbuch; Urkunde"
WAHR	FALSCH	FALSCH	Haucap-Nass, Anette	1995	Der Braunschweiger Stadtschreiber Gerwin von Hameln [† 1496] und seine Bibliothek		Wiesbaden		8				5724	"Bibliotheksgeschichte; Buchbesitz; Kanzlei; Niedersachsen; Person Gerwin von Hameln (Stadtschreiber, Braunschweig); Stadtschreiber"
FALSCH	FALSCH	FALSCH	Heinzmann, Guido	2008/09	Die untergegangenen mittelalterlichen Dorstener Stadtbücher			Vestische Zeitschrift	102			33–54	13695	Stb - Stadtbuch
WAHR	FALSCH	FALSCH	Helmert-Corvey, Theodor	1989	Rechtsbuch der Stadt Herford. Vollständige Faksimile-Ausgabe im Original-Format der Handschrift Msc. 1 aus dem Besitz des Kommunalarchivs Herford [um 1370]	Faksimile	Bielefeld						13411	"Edition/Regest; Rechtsbuch; Statuten/Ordnungen/Willküren; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Helmert-Corvey, Theodor	1989	Rechtsbuch der Stadt Herford. Vollständige Faksimile-Ausgabe im Original-Format der Handschrift Msc. 1 aus dem Besitz des Kommunalarchivs Herford [um 1370]	Kommentarband	Bielefeld						4495	"Edition/Regest; Rechtsbuch; Statuten/Ordnungen/Willküren; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Hennen, Insa Christiane	2014	Quellen des Wittenberger Häuserbuchs: Schoßregister, Stadtkarten, archäologische Relikte							101–110	13185	"Geschoßbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Hermann, Hans-Georg, Hecker, Hans-Joachim	2012	Rechtsgeschichte des ländlichen Raums in Bayern		Regenstauf		8				13692	
WAHR	FALSCH	FALSCH	Holzner-Tobisch, Kornelia	2011	„Zum ewigen Gedächtnis in unser Stadtbuch geschrieben“	Die Korneuburger Geschäftsbücher des 15. Jahrhunderts		BRGOE (Beiträge zur Rechtsgeschichte Österreichs)	2011	1		44–67	13014	Stb - Stadtbuch
WAHR	FALSCH	FALSCH	Homeyer, Carl Gustav	1860	Die Stadtbücher des Mittelalters, insbesondere das Stadtbuch von Quedlinburg		Berlin						1334	"Prozession; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Huger, Werner	2004	Was sagen uns die mittelalterlichen Bürgerbücher ab 1336?				27			28–41	13696	"Bürgerbuch; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Hülße, Friedrich	1879	Das älteste Stadtbuch der Stadt Neuhaldensleben			Geschichtsblätter für Stadt und Land Magdeburg	14			369–403	4275	Stb - Stadtbuch
WAHR	FALSCH	FALSCH	Janicke, Karl	1865	Mitteilungen aus der Magdeburger Schöppen-Chronik	Ein Beitrag zur Kenntniss städtischen Lebens im deutschen Mittelalter und zugleich Ankündigung einer Ausgabe der Schöppen-Chronik	Magdeburg						6985	"Chronistik; Mitteldeutschland; Sachsen-Anhalt; Schöffen; Schöffenbuch/Gerichtsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Janicke, Karl	1866	Über die Lebensumstände und den Namen des ersten Verfassers der Magdeburger Schöppen-Chronik			Geschichtsblätter für Stadt und Land Magdeburg	1	4		25–31	6986	"Chronistik; Mitteldeutschland; Sachsen-Anhalt; Schöffen; Schöffenbuch/Gerichtsbuch; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Jasi?ski, Tomasz	1991	Tabliczki woskowe w kancelariach miast Pomorza Nadwi?la?skiego [Wachstafeln in den Kanzleien der Städte Weichselpommerns]		Pozna?						13407	"Stb - Stadtbuch; Wachstafel"
FALSCH	FALSCH	FALSCH	Kessler, Cornelia	2000	Geschichte und Gegenwart der westlichen Altmark	Protokoll des wissenschaftlichen Kolloquiums am 23./24. Oktober 1999 in Salzwedel	Halle		16				8718	
FALSCH	FALSCH	FALSCH	Kleff, Bernhard	1925	Urfehde im Bochumer Alten Bürgerbuch			Bochumer Heimatbuch	1			37–40	14612	"Bürgerbuch; Stb - Stadtbuch; Urfehde"
FALSCH	FALSCH	FALSCH	Kloß, Elisabeth	2004	Das Bürgerbuch der Stadt Konitz [Chojnice] von 1550 bis 1850		Münster/Westf		13				13396	"Bürgerbuch; Edition/Regest; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Kronenberg, Kurt	1934	Die Insassen des Mansfelder Berghospitals im Jahre 1580			Mansfelder Sippenkunde. Beilage zum Mansfelder Tageblatt				14	8444	"Hospital; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	"Kübler, Thomas; Oberste, Jörg"	2015	Das achte und neunte Stadtbuch Dresdens (1535 – 1598)		Leipzig						13564	"Edition/Regest; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Kypta, Ulla	2015	Selbstreproduzierende Abrechnungen. Was das Layout der englischen Pipe Rolls des 12. Jahrhunderts über ihren Zweck verrät.							273–292	13318	"England; Rotulus"
WAHR	FALSCH	FALSCH	Lehe, Erich von	1911	Die Schuldbücher von Lübeck, Riga, Hamburg–ihr Quellenwert zur hansischen Frühgeschichte							165–177	8637	"Hanse; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Lehmann, Rudolf	1976	Quellen zur Geschichte der Niederlausitz	2. Teil	"Köln; Wien"		68.2				4781	"Archiv Potsdam Staatsarchiv; Edition/Regest; Schöffenbuch/Gerichtsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Lehmann, Rudolf	1979	Quellen zur Geschichte der Niederlausitz	3. Teil	"Köln; Wien"		68.3				4782	"Archiv Potsdam Staatsarchiv; Archiv Senftenberg Stadtarchiv; Schöffenbuch/Gerichtsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Lemke, Hannes	2014	"""vide brate"" – Die erhaltenen Zerbster Stadtbücher"			Mitteilungen des Vereins für Anhaltische Landeskunde	23			251-	13697	"Findmittel; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	"Lerchner, Gotthard; Schröder, Marianne; Fix, Ulla"	1995	Chronologische, areale und situative Varietäten des Deutschen in der Sprachhistoriographie	Festschrift für Rudolf Grosse	Frankfurt am Main/New York		2				13788	
WAHR	FALSCH	FALSCH	Ludwig, Jörg	1998	Die Görlitzer Zollregister und die Geschichte des sächsisch-polnischen Handels 1680–1800							295–313	10734	"Stb - Stadtbuch; Wirtschaftsgeschichte; Zollbuch"
WAHR	FALSCH	FALSCH	"Majorossy, Judit; Szende, Katalin"	2010	Das Preßburger Protocollum Testamentorum: 1410 (1427)–1529. Teil 1: 1410–1487		Wien/Köln/Weimar		21.1				8544	"Edition/Regest; Stb - Stadtbuch; Testamentbuch"
WAHR	FALSCH	FALSCH	"Majorossy, Judit; Szende, Katalin"	2012	Libri civitatum. Városkönyvek a középkori Magyar Királyság közigazgatásában								13073	Stb - Stadtbuch
FALSCH	FALSCH	FALSCH	"Majorossy, Judit; Szende, Katalin"	2014	Das Preßburger Protocollum Testamentorum: 1410 (1427)–1529. Teil 2: 1487–1429		Wien/Köln/Weimar		21.2				13071	"Edition/Regest; Stb - Stadtbuch; Testamentbuch"
WAHR	FALSCH	FALSCH	Meinardus, Otto	1906	Neumarkter Rechtsbuch und andere Neumarkter Rechtsquellen		Breslau		1				14786	"Edition/Regest; Rechtsbuch; Statuten/Ordnungen/Willküren; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Meller, Harald	2014	Mitteldeutschland im Zeitalter der Reformation	Interdisziplinäre Tagung vom 22. bis 24. Juni 2012 in Halle (Saale)	Halle (Saale)		4				13141	Archäologie
FALSCH	FALSCH	FALSCH	Meyer-Erlach, Georg	1962	Die Würzburger Bürgerbücher			Die Mainlande. Geschichte und Gegenwart	13			37ff., 41ff., 45ff., 51f.	14223	"Bürgerbuch; Bürgerlisten; Edition/Regest; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	"Mikó, Gábor; Bence, Péterfi; András, Vadas"	2012	Tiszteletkör	Történeti tanulmányok Draskóczy István egyetemi tanár 60. születésnapjára	Budapest						13072	
FALSCH	FALSCH	FALSCH	Moulin-Fankhänel, Claudine	2010	Sprache in der Stadt	Akten der 25. Tagung des Internationalen Arbeitskreises Historische Stadtsprachenforschung. Luxemburg, 11.-13. Oktober 2007	Heidelberg						14619	
FALSCH	FALSCH	FALSCH	Mühler, Heinrich	1858	Deutsche Rechtshandschriften des Stadtarchivs Naumburg an der Saale		Berlin						7048	"Archiv Naumburg; Mitteldeutschland; Rechtsbuch; Sachsen-Anhalt"
FALSCH	FALSCH	FALSCH	Neumeister, Peter	1989	Der Urfehdeeid des Berliner Stadtbuches							79–87	14679	"Rechtsgeschichte; Stb - Stadtbuch; Urfehde"
FALSCH	FALSCH	FALSCH	Nöth, Stefan	2012	Die Grenze zwischen Stadt und Land: aufgezeigt anhand der Stadtbücher von Seßlach von 1485 und 1550							67–74	13693	"Stadt und Land; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Pettke, Sabine	1998	Elisabeth Schnitzler: Zur Stadt- und Universitätsgeschichte Rostocks: kleine Beiträge (1941–1961)		Rostock		126				14624	
WAHR	FALSCH	FALSCH	Pfeil, Brigitte	2007	Katalog der deutschen und niederländischen Handschriften des Mittelalters in der Universitäts- und Landesbibliothek Sachsen-Anhalt in Halle (Saale), 2 Bde.		Halle (Saale)		89.1-2				8282	Stb - Stadtbuch
FALSCH	FALSCH	FALSCH	Pfotenhauer, Paul	1886	Die Pförtner von Neumarkt und ihre Aufzeichnungen			Zeitschrift des Vereins für Geschichte und Alterthum Schlesiens	20			260–296	11842	"Edition/Regest; Stb - Stadtbuch; Zollbuch"
FALSCH	FALSCH	FALSCH	Poltsam, Inna	2001	Zur Baugeschichte von Neu Pernau in der Amtszeit des Bürgermeisters Johann von Lynthem (1519–1548). Nach Lynthems Denkwürdigkeiten und den Kämmereirechnungen			ZfO (Zeitschrift für Ostforschung)	50	3		370–388	12051	"Deutscher Orden; Rechnungsbuch; Stb-Stadtbuch"
WAHR	FALSCH	FALSCH	Rehme, Paul	1911	Zur Geschichte des Grundbuchwesens in Berlin							528–587	3987	Stb - Stadtbuch
FALSCH	FALSCH	FALSCH	Schmid, Regula	2010	Chronikalien der Stadtbücher von Luzern							453	13694	"Chronistik; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Schnitzler, Elisabeth	1998	Als Heyno Pawe der Stadt Rostock Urfehde schwor. Mittelalterliche Rechtsprechung nach dem Buch der Verfesteten							99–102	14682	Stb - Stadtbuch
FALSCH	FALSCH	FALSCH	"Schulz, Karl; Tiesler, Kurt"	1978	Das älteste Bürgerbuch der Stadt Königsberg (Pr.) : (1746 - 1809)		Hamburg		36				13152	"Bürgerbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Seggern, Harm von	2015	Quellenkunde als Methode. Zum Aussagewert der Lübecker Niederstadtbücher des 15. Jahrhunderts		Köln, Weimar, Wien		72				13838	Stb - Stadtbuch
FALSCH	FALSCH	FALSCH	"Siewert, Ulrike; Klingner, Jens; Mund, Robert"	2013	Daz man die beschribe zv eime ewiclicheme gedechtnisse vnde zu einer ewigen bewisunge. Die städtische Überlieferung Dresdens – Aktuelle Editionsprojekte zur ittelalterlichen Stadtgeschichte							395–423	13453	"Findmittel; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Simson, Paul	2006	Geschichte der Danziger Willkür		Münster/Westf		3				13395	"Edition/Regest; Statuten/Ordnungen/Willküren; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Skowro?ska, Renata	2014	Selbstzeugnisse im polnischen und deutschen Schrifttum im Spätmittelalter und in der frühen Neuzeit (15. - 18. Jahrhundert)		Toru?		1				14815	
FALSCH	FALSCH	FALSCH	Sladeczek, Martin	2015	Sehr alltägliche Frömmigkeit. Arnstadts Pfarrkirchen um 1500							201–226	13728	"Kirchenfabrik; Kirchenrechnung; Rechnungsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Spá?ilová, Libuše	2010	"Die Textsorte Urfehde im Olmützer ""über causarum criminalium"" aus den Jahren 1584–1629"							223–242	14683	"16. Jh.; 17. Jh.; Stb - Stadtbuch; Urfehde"
WAHR	FALSCH	FALSCH	Speer, Christian	2013	Stand und Perspektiven der Stadtbuchforschung – Ein Überblick							367–394	8047	Stb - Stadtbuch
WAHR	FALSCH	FALSCH	Speer, Christian	2015	Account and Town Records as Mirrors of Social Change and Control in the 15th and 16th Century							269–278	12966	"Rechnungsbuch; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Speer, Christian	2015	Mitteldeutsche Stadtbücher als Quellen der Frömmigkeitsgeschichte um 1500							191–200	13610	"Kanzleipraxis; Stb - Stadtbuch; Wallfahrt"
